Date,Open,High,Low,Close,Signal,Entry,StopLoss,TakeProfit,RiskReward
2022-01-01,46211.24,47967.12,46205.0,47733.43,NONE,,,,
2022-01-02,47733.43,47990.0,46633.36,47299.07,NONE,,,,
2022-01-03,47299.06,47583.33,45700.0,46459.56,NONE,,,,
2022-01-04,46459.57,47532.89,45515.0,45814.61,NONE,,,,
2022-01-05,45817.13,47076.55,42500.0,43436.04,NONE,,,,
2022-01-06,43446.34,43794.5,42432.99,43083.76,NONE,,,,
2022-01-07,43081.79,43144.72,40571.53,41565.18,NONE,,,,
2022-01-08,41564.57,42318.97,40505.3,41684.84,NONE,,,,
2022-01-09,41684.84,42831.12,41209.53,41876.52,NONE,,,,
2022-01-10,41876.52,42250.0,39650.0,41824.07,NONE,,,,
2022-01-11,41824.06,43130.0,41274.8,42753.44,NONE,,,,
2022-01-12,42749.84,44342.83,42459.21,43920.37,NONE,,,,
2022-01-13,43921.21,44453.22,42325.0,42581.65,NONE,,,,
2022-01-14,42576.27,43473.98,41752.0,43090.72,NONE,,,,
2022-01-15,43090.72,43819.39,42577.35,43098.2,NONE,,,,
2022-01-16,43098.2,43497.24,42600.0,43104.34,NONE,,,,
2022-01-17,43104.34,43200.0,41567.64,42218.01,NONE,,,,
2022-01-18,42214.66,42692.71,41287.79,42369.74,NONE,,,,
2022-01-19,42372.15,42586.03,41126.0,41674.27,NONE,,,,
2022-01-20,41672.14,43511.99,40555.0,40670.97,NONE,,,,
2022-01-21,40671.77,41127.79,35422.0,36456.94,NONE,,,,
2022-01-22,36456.67,36835.93,34017.56,35066.43,NONE,,,,
2022-01-23,35075.7,36555.55,34625.0,36282.47,NONE,,,,
2022-01-24,36275.28,37574.63,32933.33,36693.32,NONE,,,,
2022-01-25,36687.58,37579.81,35716.15,36980.0,NONE,,,,
2022-01-26,36980.0,38960.0,36254.97,36840.63,NONE,,,,
2022-01-27,36846.22,37249.0,35526.36,37188.37,NONE,,,,
2022-01-28,37188.37,38023.74,36162.48,37741.9,NONE,,,,
